#Time         gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS     Idx      %      %      %      %      %      %   MB/s   MB/s 
 17:17:06       1      3      2      0      0      0      0      7      0 
 17:17:06       2      3      2      0      0      0      0      0      1 
 17:17:06       3      3      2      0      0      0      0     10      0 
 17:17:07       0     19     12      0      0      0      0     89     41 
 17:17:07       1      3      2      0      0      0      0      0      4 
 17:17:07       2      3      2      0      0      0      0      0      0 
 17:17:07       3      3      2      0      0      0      0      3     34 
 17:17:08       0     21     12      0      0      0      0    136     32 
 17:17:08       1      6      5      0      0      0      0      0      0 
 17:17:08       2      6      4      0      0      0      0     11      0 
 17:17:08       3      6      4      0      0      0      0      0     37 
 17:17:10       0     20     12      0      0      0      0    188     21 
 17:17:10       1      3      2      0      0      0      0      0      0 
 17:17:10       2      3      2      0      0      0      0     11      1 
 17:17:10       3      3      2      0      0      0      0      0      0 
 17:17:11       0     19     12      0      0      0      0    188     44 
 17:17:11       1      3      2      0      0      0      0      7      0 
 17:17:11       2      4      3      0      0      0      0      0      5 
 17:17:11       3      3      2      0      0      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS     Idx      %      %      %      %      %      %   MB/s   MB/s 
 17:17:12       0     20     12      0      0      0      0     78     41 
 17:17:12       1      6      5      0      0      0      0      0      4 
 17:17:12       2      6      4      0      0      0      0      0      0 
 17:17:12       3      6      4      0      0      0      0      0     36 
 17:17:13       0     21     12      0      0      0      0    157     27 
 17:17:13       1      6      5      0      0      0      0      0      0 
 17:17:13       2      5      3      0      0      0      0     11      0 
 17:17:13       3      3      2      0      0      0      0      0     37 
 17:17:14       0     20     12      0      0      0      0    188     42 
 17:17:14       1      3      2      0      0      0      0      7      0 
 17:17:14       2      3      2      0      0      0      0      0      5 
 17:17:14       3      3      2      0      0      0      0      0      0 
 17:17:15       0     20     12      0      0      0      0    162     43 
 17:17:15       1      3      2      0      0      0      0      7      3 
 17:17:15       2      3      2      0      0      0      0      0      0 
 17:17:15       3      3      2      0      0      0      0     11      0 
 17:17:17       0     21     12      0      0      0      0     89     41 
 17:17:17       1      6      5      0      0      0      0      0      4 
 17:17:17       2      6      4      0      0      0      0      0      0 
 17:17:17       3      6      4      0      0      0      0     11     34 
 17:17:18       0     20     12      0      0      0      0    136     33 
 17:17:18       1      3      2      0      0      0      0      0      1 
 17:17:18       2      3      2      0      0      0      0     11      1 
 17:17:18       3      3      2      0      0      0      0      0     38 
 17:17:19       0     20     12      0      0      0      0    198     19 
 17:17:19       1      3      2      0      0      0      0      0      0 
 17:17:19       2      5      3      0      0      0      0     12      3 
 17:17:19       3      6      4      0      0      0      0      0      0 
 17:17:20       0     21     12      0      0      0      0    198     43 
 17:17:20       1      6      5      0      0      0      0      7      0 
 17:17:20       2      6      4      0      0      0      0      0      5 
 17:17:20       3      6      4      0      0      0      0      0      0 
 17:17:21       0     21     12      0      0      0      0    162     44 
 17:17:21       1      3      2      0      0      0      0      7      4 
 17:17:21       2      3      2      0      0      0      0      0      0 
 17:17:21       3      3      2      0      0      0      0     10      0 
 17:17:22       0     20     12      0      0      0      0     89     40 
 17:17:22       1      3      2      0      0      0      0      0      3 
 17:17:22       2      3      2      0      0      0      0      0      0 
 17:17:22       3      3      2      0      0      0      0      0     38 
 17:17:24       0     21     12      0      0      0      0    199     19 
 17:17:24       1      6      5      0      0      0      0      0      0 
 17:17:24       2      6      4      0      0      0      0     11      1 
 17:17:24       3      6      4      0      0      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS     Idx      %      %      %      %      %      %   MB/s   MB/s 
 17:17:25       0     21     12      0      0      0      0    188     45 
 17:17:25       1      4      3      0      0      0      0      7      0 
 17:17:25       2      3      2      0      0      0      0      0      5 
 17:17:25       3      3      2      0      0      0      0      0      0 
 17:17:26       0     20     12      0      0      0      0    177     42 
 17:17:26       1      3      2      0      0      0      0      7      1 
 17:17:26       2      3      2      0      0      0      0      0      0 
 17:17:26       3      3      2      0      0      0      0      0      0 
 17:17:27       0      0      0      0      0      0      0      0      0 
 17:17:27       1      0      0      0      0      0      0      0      0 
 17:17:27       2      0      0      0      0      0      0      0      1 
 17:17:27       3      0      0      0      0      0      0      0      1 
 17:17:28       0      0      0      0      0      0      0      0      0 
 17:17:28       1      0      0      0      0      0      0      0      0 
 17:17:28       2      0      0      0      0      0      0      0      0 
 17:17:28       3      0      0      0      0      0      0      0      0 
